subject,predicate,object,weight
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169046,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169047,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169049,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169050,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169051,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169052,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169053,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169054,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169055,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169056,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169057,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169058,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169059,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169060,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169061,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169062,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169063,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169064,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169066,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169067,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169068,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169069,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169070,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169071,
file:_local/pbp_transcripts/PbP14 - Recon.md,contains,chunk_169072,
